time,level,message
"2025-10-17 10:54:58,510",INFO,"New best IoU: 0.6292 -> saved to ./checkpoints/20251017/best_iou_0.6292.pth
"
"2025-10-17 10:54:58,510",INFO,"Epoch 16 finished in 12.1s
"
"2025-10-17 10:55:09,109",INFO,"Epoch 17 | Train Loss: 0.0818
"
"2025-10-17 10:55:10,522",INFO,"Epoch 17 | Val Loss: 0.0880 | Val IoU: 0.5955 (53/89)
"
"2025-10-17 10:55:10,523",INFO,"IoU未提升（当前:0.5955 最佳:0.6292），模型不保存
"
"2025-10-17 10:55:10,523",INFO,"Epoch 17 finished in 12.0s
"
"2025-10-17 10:55:21,050",INFO,"Epoch 18 | Train Loss: 0.0811
"
"2025-10-17 10:55:22,455",INFO,"Epoch 18 | Val Loss: 0.0809 | Val IoU: 0.7303 (65/89)
"
"2025-10-17 10:55:22,462",INFO,"New best IoU: 0.7303 -> saved to ./checkpoints/20251017/best_iou_0.7303.pth
"
"2025-10-17 10:55:22,462",INFO,"Epoch 18 finished in 11.9s
"
"2025-10-17 10:55:32,921",INFO,"Epoch 19 | Train Loss: 0.0791
"
"2025-10-17 10:55:34,409",INFO,"Epoch 19 | Val Loss: 0.0904 | Val IoU: 0.7191 (64/89)
"
"2025-10-17 10:55:34,409",INFO,"IoU未提升（当前:0.7191 最佳:0.7303），模型不保存
"
"2025-10-17 10:55:34,409",INFO,"Epoch 19 finished in 11.9s
"
"2025-10-17 10:55:44,911",INFO,"Epoch 20 | Train Loss: 0.0796
"
"2025-10-17 10:55:46,356",INFO,"Epoch 20 | Val Loss: 0.0793 | Val IoU: 0.8202 (73/89)
"
"2025-10-17 10:55:46,363",INFO,"New best IoU: 0.8202 -> saved to ./checkpoints/20251017/best_iou_0.8202.pth
"
"2025-10-17 10:55:46,363",INFO,"Epoch 20 finished in 12.0s
"
"2025-10-17 10:55:56,928",INFO,"Epoch 21 | Train Loss: 0.0797
"
"2025-10-17 10:55:58,344",INFO,"Epoch 21 | Val Loss: 0.0798 | Val IoU: 0.6854 (61/89)
"
"2025-10-17 10:55:58,344",INFO,"IoU未提升（当前:0.6854 最佳:0.8202），模型不保存
"
"2025-10-17 10:55:58,344",INFO,"Epoch 21 finished in 12.0s
"
"2025-10-17 10:56:08,818",INFO,"Epoch 22 | Train Loss: 0.0789
"
"2025-10-17 10:56:10,245",INFO,"Epoch 22 | Val Loss: 0.0717 | Val IoU: 0.7079 (63/89)
"
"2025-10-17 10:56:10,245",INFO,"IoU未提升（当前:0.7079 最佳:0.8202），模型不保存
"
"2025-10-17 10:56:10,245",INFO,"Epoch 22 finished in 11.9s
"
"2025-10-17 10:56:20,751",INFO,"Epoch 23 | Train Loss: 0.0767
"
"2025-10-17 10:56:22,215",INFO,"Epoch 23 | Val Loss: 0.0854 | Val IoU: 0.7865 (70/89)
"
"2025-10-17 10:56:22,215",INFO,"IoU未提升（当前:0.7865 最佳:0.8202），模型不保存
"
"2025-10-17 10:56:22,215",INFO,"Epoch 23 finished in 12.0s
"
"2025-10-17 10:56:32,753",INFO,"Epoch 24 | Train Loss: 0.0783
"
"2025-10-17 10:56:34,198",INFO,"Epoch 24 | Val Loss: 0.0869 | Val IoU: 0.8090 (72/89)
"
"2025-10-17 10:56:34,198",INFO,"IoU未提升（当前:0.8090 最佳:0.8202），模型不保存
"
"2025-10-17 10:56:34,198",INFO,"Epoch 24 finished in 12.0s
"
"2025-10-17 10:56:44,709",INFO,"Epoch 25 | Train Loss: 0.0775
"
"2025-10-17 10:56:46,113",INFO,"Epoch 25 | Val Loss: 0.0891 | Val IoU: 0.7079 (63/89)
"
"2025-10-17 10:56:46,113",INFO,"IoU未提升（当前:0.7079 最佳:0.8202），模型不保存
"
"2025-10-17 10:56:46,113",INFO,"Epoch 25 finished in 11.9s
"
"2025-10-17 10:56:56,680",INFO,"Epoch 26 | Train Loss: 0.0782
"
"2025-10-17 10:56:58,181",INFO,"Epoch 26 | Val Loss: 0.0909 | Val IoU: 0.7640 (68/89)
"
"2025-10-17 10:56:58,182",INFO,"IoU未提升（当前:0.7640 最佳:0.8202），模型不保存
"
"2025-10-17 10:56:58,182",INFO,"Epoch 26 finished in 12.1s
"
"2025-10-17 10:57:08,776",INFO,"Epoch 27 | Train Loss: 0.0797
"
"2025-10-17 10:57:10,179",INFO,"Epoch 27 | Val Loss: 0.0758 | Val IoU: 0.6180 (55/89)
"
"2025-10-17 10:57:10,179",INFO,"IoU未提升（当前:0.6180 最佳:0.8202），模型不保存
"
"2025-10-17 10:57:10,179",INFO,"Epoch 27 finished in 12.0s
"
"2025-10-17 10:57:20,637",INFO,"Epoch 28 | Train Loss: 0.0757
"
